model,strategy,fam,epoch,train_loss,valid_loss,valid_f1,test_f1
sincFold,sortS400,tRNA,0.0,0.0487,0.0386,0.4232,
sincFold,sortS400,tRNA,1.0,0.0487,0.0386,0.4232,
sincFold,sortS400,tRNA,2.0,0.0279,0.0322,0.5346,
sincFold,sortS400,tRNA,3.0,0.0247,0.0323,0.5736,
sincFold,sortS400,tRNA,4.0,0.0211,0.0272,0.6283,
sincFold,sortS400,tRNA,5.0,0.0179,0.0336,0.6002,0.688
sincFold,sortS400,tRNA,6.0,0.0192,0.0242,0.6633,
sincFold,sortS400,tRNA,7.0,0.0155,0.0193,0.6963,
sincFold,sortS400,tRNA,8.0,0.0125,0.021,0.7317,
sincFold,sortS400,tRNA,9.0,0.0096,0.0176,0.7303,
sincFold,sortS400,tRNA,10.0,0.0072,0.0225,0.7554,0.617
sincFold,sortS400,tRNA,11.0,0.0052,0.0186,0.7575,
sincFold,sortS400,tRNA,12.0,0.0036,0.0211,0.7791,
sincFold,sortS400,tRNA,13.0,0.0021,0.0243,0.7819,
sincFold,sortS400,tRNA,14.0,0.0019,0.0215,0.7816,
sincFold,sortS400,tRNA,15.0,0.0016,0.0414,0.755,0.592
sincFold,sortS400,tRNA,16.0,0.0024,0.0265,0.7837,
sincFold,sortS400,tRNA,17.0,0.0023,0.0285,0.7884,
sincFold,sortS400,tRNA,18.0,0.0011,0.0431,0.7678,
sincFold,sortS400,tRNA,19.0,0.0012,0.0292,0.7884,
sincFold,sortS400,tRNA,20.0,0.0012,0.03,0.7902,0.639
sincFold,sortS400,tRNA,21.0,0.0021,0.0219,0.6765,
sincFold,sortS400,tRNA,22.0,0.0014,0.0292,0.7984,
sincFold,sortS400,tRNA,23.0,0.0008,0.0288,0.7986,
sincFold,sortS400,tRNA,24.0,0.0014,0.0263,0.7773,
sincFold,sortS400,tRNA,25.0,0.0011,0.0205,0.7664,0.614
sincFold,sortS400,tmRNA,0.0,0.0561,0.0484,0.4987,
sincFold,sortS400,tmRNA,1.0,0.0561,0.0484,0.4987,
sincFold,sortS400,tmRNA,2.0,0.0317,0.0306,0.6294,
sincFold,sortS400,tmRNA,3.0,0.027,0.0272,0.6756,
sincFold,sortS400,tmRNA,4.0,0.0225,0.0311,0.6785,
sincFold,sortS400,tmRNA,5.0,0.0194,0.0212,0.7297,0.312
sincFold,sortS400,tmRNA,6.0,0.0206,0.054,0.5507,
sincFold,sortS400,tmRNA,7.0,0.0165,0.0195,0.752,
sincFold,sortS400,tmRNA,8.0,0.0129,0.022,0.7709,
sincFold,sortS400,tmRNA,9.0,0.0095,0.019,0.7779,
sincFold,sortS400,tmRNA,10.0,0.0069,0.0227,0.8099,0.322
sincFold,sortS400,tmRNA,11.0,0.0055,0.0278,0.8005,
sincFold,sortS400,tmRNA,12.0,0.0032,0.0221,0.8156,
sincFold,sortS400,tmRNA,13.0,0.0027,0.0386,0.7843,
sincFold,sortS400,tmRNA,14.0,0.0025,0.0227,0.8139,
sincFold,sortS400,tmRNA,15.0,0.0024,0.0215,0.8171,0.305
sincFold,sortS400,tmRNA,16.0,0.004,0.0254,0.807,
sincFold,sortS400,tmRNA,17.0,0.003,0.0266,0.8115,
sincFold,sortS400,tmRNA,18.0,0.0021,0.0247,0.8013,
sincFold,sortS400,tmRNA,19.0,0.0021,0.0272,0.8202,
sincFold,sortS400,tmRNA,20.0,0.0019,0.0305,0.8176,0.295
sincFold,sortS400,tmRNA,21.0,0.0015,0.0328,0.8212,
sincFold,sortS400,tmRNA,22.0,0.0015,0.0443,0.8076,
sincFold,sortS400,tmRNA,23.0,0.0011,0.0791,0.746,
sincFold,sortS400,tmRNA,24.0,0.0012,0.0313,0.8101,
sincFold,sortS400,tmRNA,25.0,0.0013,0.0309,0.8246,0.297
sincFold,sortS400,RNaseP,0.0,0.0534,0.0426,0.476,
sincFold,sortS400,RNaseP,1.0,0.0534,0.0426,0.476,
sincFold,sortS400,RNaseP,2.0,0.0321,0.0362,0.5634,
sincFold,sortS400,RNaseP,3.0,0.0267,0.0299,0.6259,
sincFold,sortS400,RNaseP,4.0,0.0243,0.0319,0.5908,
sincFold,sortS400,RNaseP,5.0,0.0209,0.0423,0.5947,0.35
sincFold,sortS400,RNaseP,6.0,0.0197,0.0243,0.7077,
sincFold,sortS400,RNaseP,7.0,0.0162,0.0231,0.7375,
sincFold,sortS400,RNaseP,8.0,0.0126,0.0185,0.7454,
sincFold,sortS400,RNaseP,9.0,0.0102,0.018,0.7352,
sincFold,sortS400,RNaseP,10.0,0.0069,0.0202,0.7751,0.392
sincFold,sortS400,RNaseP,11.0,0.0054,0.0175,0.7755,
sincFold,sortS400,RNaseP,12.0,0.0034,0.0366,0.7609,
sincFold,sortS400,RNaseP,13.0,0.0031,0.0228,0.7935,
sincFold,sortS400,RNaseP,14.0,0.0027,0.0244,0.8076,
sincFold,sortS400,RNaseP,15.0,0.0018,0.023,0.8076,0.377
sincFold,sortS400,RNaseP,16.0,0.0019,0.023,0.8002,
sincFold,sortS400,RNaseP,17.0,0.0022,0.0282,0.8049,
sincFold,sortS400,RNaseP,18.0,0.0016,0.0183,0.7767,
sincFold,sortS400,RNaseP,19.0,0.0016,0.0184,0.8028,
sincFold,sortS400,RNaseP,20.0,0.0016,0.0316,0.8052,0.349
sincFold,sortS400,RNaseP,21.0,0.0011,0.0325,0.8084,
sincFold,sortS400,RNaseP,22.0,0.0014,0.0258,0.804,
sincFold,sortS400,RNaseP,23.0,0.001,0.0197,0.7657,
sincFold,sortS400,RNaseP,24.0,0.0015,0.0313,0.8216,
sincFold,sortS400,RNaseP,25.0,0.0007,0.0295,0.816,0.343
sincFold,sortS400,5s,0.0,0.0465,0.0364,0.4525,
sincFold,sortS400,5s,1.0,0.0465,0.0364,0.4525,
sincFold,sortS400,5s,2.0,0.0279,0.0371,0.5228,
sincFold,sortS400,5s,3.0,0.0244,0.0462,0.4949,
sincFold,sortS400,5s,4.0,0.0212,0.0275,0.5877,
sincFold,sortS400,5s,5.0,0.0187,0.0245,0.6083,0.457
sincFold,sortS400,5s,6.0,0.0256,0.029,0.5809,
sincFold,sortS400,5s,7.0,0.0206,0.0395,0.5733,
sincFold,sortS400,5s,8.0,0.0178,0.0364,0.6125,
sincFold,sortS400,5s,9.0,0.0148,0.021,0.6717,
sincFold,sortS400,5s,10.0,0.0115,0.0177,0.7118,0.51
