model,fam,test_f1
sincFold,16s,0.268
sincFold,23s,0.246
sincFold,5s,0.37
sincFold,RNaseP,0.354
sincFold,grp1,0.273
sincFold,srp,0.233
sincFold,tRNA,0.624
sincFold,telomerase,0.117
sincFold,tmRNA,0.286
eFold,16s,0.2794781029224396
eFold,23s,0.2094400376081466
eFold,5s,0.41995370388031
eFold,RNaseP,0.2578040063381195
eFold,grp1,0.1826139837503433
eFold,srp,0.1569520682096481
eFold,tRNA,0.5106211304664612
eFold,telomerase,0.0951533839106559
eFold,tmRNA,0.1502588391304016
REDFold,16s,0.3721693292694862
REDFold,23s,0.4109128073763352
REDFold,5s,0.4411771649024502
REDFold,RNaseP,0.364727813362809
REDFold,grp1,0.3312023768511488
REDFold,srp,0.2213167702655687
REDFold,tRNA,0.520145476870688
REDFold,telomerase,0.1472966745685089
REDFold,tmRNA,0.3303514296680558
UFold,16s,0.4169539853345255
UFold,23s,0.4567170401932932
UFold,5s,0.4460136959573308
UFold,RNaseP,0.4581709288813133
UFold,grp1,0.4472533904387984
UFold,srp,0.2397217338212598
UFold,tRNA,0.4876672886326808
UFold,telomerase,0.1995465645038948
UFold,tmRNA,0.4340484734195145
RiNALMo-ResNet,16s,0.4495252138008109
RiNALMo-ResNet,23s,0.6054127654906538
RiNALMo-ResNet,5s,0.7888803814726607
RiNALMo-ResNet,RNaseP,0.6191257735917438
RiNALMo-ResNet,grp1,0.5701111528411948
RiNALMo-ResNet,srp,0.5997084867089597
RiNALMo-ResNet,tRNA,0.860512557982989
RiNALMo-ResNet,telomerase,0.0913466631407438
RiNALMo-ResNet,tmRNA,0.6349969538928112
