model,strategy,K,fam,test_f1
sincFold,clusS,100,16s,0.304
sincFold,clusS,100,23s,0.353
sincFold,clusS,100,5s,0.39
sincFold,clusS,100,RNaseP,0.37
sincFold,clusS,100,grp1,0.331
sincFold,clusS,100,srp,0.303
sincFold,clusS,100,tRNA,0.653
sincFold,clusS,100,telomerase,0.17
sincFold,clusS,100,tmRNA,0.339
sincFold,clusS,200,16s,0.364
sincFold,clusS,200,23s,0.426
sincFold,clusS,200,5s,0.437
sincFold,clusS,200,RNaseP,0.389
sincFold,clusS,200,grp1,0.379
sincFold,clusS,200,srp,0.278
sincFold,clusS,200,tRNA,0.632
sincFold,clusS,200,telomerase,0.184
sincFold,clusS,200,tmRNA,0.297
sincFold,clusS,400,16s,0.329
sincFold,clusS,400,23s,0.331
sincFold,clusS,400,5s,0.447
sincFold,clusS,400,RNaseP,0.39
sincFold,clusS,400,grp1,0.363
sincFold,clusS,400,srp,0.253
sincFold,clusS,400,tRNA,0.607
sincFold,clusS,400,telomerase,0.162
sincFold,clusS,400,tmRNA,0.325
sincFold,randS,100,16s,0.333
sincFold,randS,100,23s,0.303
sincFold,randS,100,5s,0.34
sincFold,randS,100,RNaseP,0.403
sincFold,randS,100,grp1,0.371
sincFold,randS,100,srp,0.213
sincFold,randS,100,tRNA,0.583
sincFold,randS,100,telomerase,0.172
sincFold,randS,100,tmRNA,0.3
sincFold,randS,200,16s,0.254
sincFold,randS,200,23s,0.395
sincFold,randS,200,5s,0.272
sincFold,randS,200,RNaseP,0.432
sincFold,randS,200,grp1,0.345
sincFold,randS,200,srp,0.235
sincFold,randS,200,tRNA,0.673
sincFold,randS,200,telomerase,0.138
sincFold,randS,200,tmRNA,0.317
sincFold,randS,400,16s,0.354
sincFold,randS,400,23s,0.327
sincFold,randS,400,5s,0.435
sincFold,randS,400,RNaseP,0.408
sincFold,randS,400,grp1,0.291
sincFold,randS,400,srp,0.196
sincFold,randS,400,tRNA,0.674
sincFold,randS,400,telomerase,0.167
sincFold,randS,400,tmRNA,0.287
sincFold,sortS,100,16s,0.329
sincFold,sortS,100,23s,0.398
sincFold,sortS,100,5s,0.341
sincFold,sortS,100,RNaseP,0.371
sincFold,sortS,100,grp1,0.357
sincFold,sortS,100,srp,0.243
sincFold,sortS,100,tRNA,0.656
sincFold,sortS,100,telomerase,0.159
sincFold,sortS,100,tmRNA,0.369
sincFold,sortS,200,16s,0.364
sincFold,sortS,200,23s,0.424
sincFold,sortS,200,5s,0.482
sincFold,sortS,200,RNaseP,0.41
sincFold,sortS,200,grp1,0.401
sincFold,sortS,200,srp,0.213
sincFold,sortS,200,tRNA,0.584
sincFold,sortS,200,telomerase,0.132
sincFold,sortS,200,tmRNA,0.328
sincFold,sortS,400,16s,0.364
sincFold,sortS,400,23s,0.273
sincFold,sortS,400,5s,0.382
sincFold,sortS,400,RNaseP,0.377
sincFold,sortS,400,grp1,0.356
sincFold,sortS,400,srp,0.205
sincFold,sortS,400,tRNA,0.617
sincFold,sortS,400,telomerase,0.171
sincFold,sortS,400,tmRNA,0.322
eFold,clusS,100,16s,0.2348455041646957
eFold,clusS,100,23s,0.3132936656475067
eFold,clusS,100,5s,0.2416907995939254
eFold,clusS,100,RNaseP,0.2735566198825836
eFold,clusS,100,grp1,0.2687933444976806
eFold,clusS,100,srp,0.1630785167217254
eFold,clusS,100,tRNA,0.4363196492195129
eFold,clusS,100,telomerase,0.055985003709793
eFold,clusS,100,tmRNA,0.2394272685050964
eFold,clusS,200,16s,0.1043738946318626
eFold,clusS,200,23s,0.3661153316497803
eFold,clusS,200,5s,0.4491058886051178
eFold,clusS,200,RNaseP,0.3674955666065216
eFold,clusS,200,grp1,0.3728954493999481
eFold,clusS,200,srp,0.1601472198963165
eFold,clusS,200,tRNA,0.5421517491340637
eFold,clusS,200,telomerase,0.1500990241765976
eFold,clusS,200,tmRNA,0.3280721306800842
eFold,clusS,400,16s,0.2294669896364212
eFold,clusS,400,23s,0.2948258519172668
eFold,clusS,400,5s,0.4372633099555969
eFold,clusS,400,RNaseP,0.3126822710037231
eFold,clusS,400,grp1,0.2569606006145477
eFold,clusS,400,srp,0.192473754286766
eFold,clusS,400,tRNA,0.5237097144126892
eFold,clusS,400,telomerase,0.0960978120565414
eFold,clusS,400,tmRNA,0.2240037769079208
eFold,randS,100,16s,0.2118179649114608
eFold,randS,100,23s,0.2577771246433258
